Id;Label;Attribute
1;"Serena Williams";1
2;"Magdalena Rybarikova";1
3;"Teliana Pereira";1
4;"Kristyna Pliskova";1
5;"Timea Babos";1
6;"Samantha Crawford";1
7;"Kristina Mladenovic";1
8;"Francesca Schiavone";1
9;"Elina Svitolina";1
10;"Sorana Cirstea";1
11;"Taylor Townsend";1
12;"Amandine Hesse";1
13;"Kurumi Nara";1
14;"Denisa Allertova";1
15;"Ana Ivanovic";1
16;"Oceane Dodin";1
17;"Carla Suarez Navarro";1
18;"Katerina Siniakova";1
19;"Qiang Wang";1
20;"Tessah Andrianjafitrimo";1
21;"Ana Konjuh";1
22;"Arina Rodionova";1
23;"Dominika Cibulkova";1
24;"Saisai Zheng";1
25;"Andrea Petkovic";1
26;"Laura Robson";1
27;"Yulia Putintseva";1
28;"Aleksandra Wozniak";1
29;"Anastasija Sevastova";1
30;"Sachia Vickery";1
31;"Karin Knapp";1
32;"Victoria Azarenka";1
33;"Kiki Bertens";1
34;"Angelique Kerber";1
35;"Camila Giorgi";1
36;"Alize Lim";1
37;"Virginie Razzano";1
38;"Ipek Soylu";1
39;"Darya Kasatkina";1
40;"Anna Lena Friedsam";1
41;"Julia Goerges";1
42;"Johanna Konta";1
43;"Monica Puig";1
44;"Olga Govortsova";1
45;"Mariana Duque Marino";1
46;"Daria Gavrilova";1
47;"Madison Keys";1
48;"Donna Vekic";1
49;"Venus Williams";1
50;"Anett Kontaveit";1
51;"Louisa Chirico";1
52;"Lauren Davis";1
53;"Alize Cornet";1
54;"Kirsten Flipkens";1
55;"Tatjana Maria";1
56;"Jelena Jankovic";1
57;"Pauline Parmentier";1
58;"Monica Niculescu";1
59;"Irina Falconi";1
60;"Mona Barthel";1
61;"Eugenie Bouchard";1
62;"Laura Siegemund";1
63;"Timea Bacsinszky";1
64;"Silvia Soler Espinosa";1
65;"Kateryna Bondarenko";1
66;"Roberta Vinci";1
67;"Annika Beck";1
68;"Maryna Zanevska";1
69;"Coco Vandeweghe";1
70;"Naomi Broady";1
71;"Irina Camelia Begu";1
72;"Bethanie Mattek Sands";1
73;"Shelby Rogers";1
74;"Karolina Pliskova";1
75;"Elena Vesnina";1
76;"Madison Brengle";1
77;"Su Wei Hsieh";1
78;"Lara Arruabarrena";1
79;"Petra Kvitova";1
80;"Danka Kovinic";1
81;"Svetlana Kuznetsova";1
82;"Yaroslava Shvedova";1
83;"Heather Watson";1
84;"Nicole Gibbs";1
85;"Cagla Buyukakcay";1
86;"Aliaksandra Sasnovich";1
87;"Anastasia Pavlyuchenkova";1
88;"Sara Sorribes Tormo";1
89;"Ekaterina Makarova";1
90;"Varvara Lepchenko";1
91;"Yanina Wickmayer";1
92;"Alexandra Dulgheru";1
93;"Myrtille Georges";1
94;"Christina Mchale";1
95;"Garbine Muguruza";1
96;"Anna Karolina Schmiedlova";1
97;"Simona Halep";1
98;"Nao Hibino";1
99;"Zarina Diyas";1
100;"Carina Witthoeft";1
101;"Mirjana Lucic";1
102;"Daniela Hantuchova";1
103;"Naomi Osaka";1
104;"Jelena Ostapenko";1
105;"Samantha Stosur";1
106;"Misaki Doi";1
107;"Shuai Zhang";1
108;"Galina Voskoboeva";1
109;"Viktorija Golubic";1
110;"Alison Riske";1
111;"Lucie Safarova";1
112;"Vitalia Diatchenko";1
113;"Tsvetana Pironkova";1
114;"Sara Errani";1
115;"Johanna Larsson";1
116;"Magda Linette";1
117;"Veronica Cepede Royg";1
118;"Sabine Lisicki";1
119;"Sloane Stephens";1
120;"Margarita Gasparyan";1
121;"Barbora Zahlavova Strycova";1
122;"Lucie Hradecka";1
123;"Polona Hercog";1
124;"Lourdes Dominguez Lino";1
125;"Caroline Garcia";1
126;"Lesia Tsurenko";1
127;"Agnieszka Radwanska";1
128;"Bojana Jovanovski";1
