Id;Label;Attribute
1;"Rafael Nadal";1
2;"Robby Ginepri";1
3;"Dominic Thiem";1
4;"Paul Henri Mathieu";1
5;"Leonardo Mayer";1
6;"James Duckworth";1
7;"Teymuraz Gabashvili";1
8;"Vasek Pospisil";1
9;"Jack Sock";1
10;"Nicolas Almagro";1
11;"Steve Johnson";1
12;"Laurent Lokoli";1
13;"Dusan Lajovic";1
14;"Federico Delbonis";1
15;"Jurgen Zopp";1
16;"Tommy Haas";1
17;"Ivo Karlovic";1
18;"Grigor Dimitrov";1
19;"Andreas Haider Maurer";1
20;"Daniel Brands";1
21;"Axel Michon";1
22;"Bradley Klahn";1
23;"Kevin Anderson";1
24;"Stephane Robert";1
25;"Andreas Seppi";1
26;"Santiago Giraldo";1
27;"Juan Monaco";1
28;"Lucas Pouille";1
29;"Simone Bolelli";1
30;"Andrea Arnaboldi";1
31;"David Ferrer";1
32;"Igor Sijsling";1
33;"Guillermo Garcia Lopez";1
34;"Stanislas Wawrinka";1
35;"Adrian Mannarino";1
36;"Yen Hsun Lu";1
37;"Donald Young";1
38;"Dudi Sela";1
39;"Feliciano Lopez";1
40;"Damir Dzumhur";1
41;"Gael Monfils";1
42;"Victor Hanescu";1
43;"Jan Lennard Struff";1
44;"Albano Olivetti";1
45;"Thomaz Bellucci";1
46;"Benjamin Becker";1
47;"Fabio Fognini";1
48;"Andreas Beck";1
49;"Richard Gasquet";1
50;"Bernard Tomic";1
51;"Carlos Berlocq";1
52;"Lleyton Hewitt";1
53;"Pablo Cuevas";1
54;"Matthew Ebden";1
55;"Fernando Verdasco";1
56;"Michael Llodra";1
57;"Philipp Kohlschreiber";1
58;"Pere Riba";1
59;"Denis Istomin";1
60;"Sergiy Stakhovsky";1
61;"Marinko Matosevic";1
62;"Dustin Brown";1
63;"Andy Murray";1
64;"Andrey Golubev";1
65;"Tomas Berdych";1
66;"Peter Polansky";1
67;"Aleksandr Nedovyesov";1
68;"Somdev Devvarman";1
69;"Benoit Paire";1
70;"Alejandro Falla";1
71;"Roberto Bautista Agut";1
72;"Paolo Lorenzi";1
73;"Tommy Robredo";1
74;"James Ward";1
75;"Kenny De Schepper";1
76;"Albert Montanes";1
77;"Mikhail Kukushkin";1
78;"Nicolas Mahut";1
79;"John Isner";1
80;"Pierre Hugues Herbert";1
81;"Mikhail Youzhny";1
82;"Pablo Carreno Busta";1
83;"Radek Stepanek";1
84;"Facundo Arguello";1
85;"Facundo Bagnis";1
86;"Julien Benneteau";1
87;"Ernests Gulbis";1
88;"Lukasz Kubot";1
89;"Dmitry Tursunov";1
90;"Potito Starace";1
91;"Sam Querrey";1
92;"Filippo Volandri";1
93;"Diego Sebastian Schwartzman";1
94;"Gastao Elias";1
95;"Roger Federer";1
96;"Lukas Lacko";1
97;"Milos Raonic";1
98;"Nick Kyrgios";1
99;"Jiri Vesely";1
100;"Lukas Rosol";1
101;"Alejandro Gonzalez";1
102;"Michael Russell";1
103;"Gilles Simon";1
104;"Ante Pavic";1
105;"Alexandr Dolgopolov";1
106;"Albert Ramos";1
107;"Marcel Granollers";1
108;"Ivan Dodig";1
109;"Robin Haase";1
110;"Nikolay Davydenko";1
111;"Martin Klizan";1
112;"Kei Nishikori";1
113;"Jo Wilfried Tsonga";1
114;"Edouard Roger Vasselin";1
115;"Jurgen Melzer";1
116;"David Goffin";1
117;"Jarkko Nieminen";1
118;"Michal Przysiezny";1
119;"Jerzy Janowicz";1
120;"Victor Estrella";1
121;"Marin Cilic";1
122;"Pablo Andujar";1
123;"Tobias Kamke";1
124;"Miloslav Mecir";1
125;"Jeremy Chardy";1
126;"Daniel Gimeno Traver";1
127;"Novak Djokovic";1
128;"Joao Sousa";1
