Id;Label;Attribute
1;"Serena Williams";1
2;"Ekaterina Makarova";1
3;"Vania King";1
4;"Antonia Lottner";1
5;"Johanna Larsson";1
6;"Karin Knapp";1
7;"Denisa Allertova";1
8;"Ana Ivanovic";1
9;"Qiang Wang";1
10;"Darya Kasatkina";1
11;"Yaroslava Shvedova";1
12;"Lara Arruabarrena";1
13;"Shuai Zhang";1
14;"Ellen Perez";1
15;"Samantha Stosur";1
16;"Camila Giorgi";1
17;"Carla Suarez Navarro";1
18;"Teliana Pereira";1
19;"Jelena Jankovic";1
20;"Mariana Duque Marino";1
21;"Annika Beck";1
22;"Nadia Podoroska";1
23;"Elena Vesnina";1
24;"Anett Kontaveit";1
25;"Timea Babos";1
26;"Barbara Haas";1
27;"Richel Hogenkamp";1
28;"Heather Watson";1
29;"Lucie Safarova";1
30;"Daria Gavrilova";1
31;"Simona Halep";1
32;"Kirsten Flipkens";1
33;"Agnieszka Radwanska";1
34;"Jessica Pegula";1
35;"Naomi Broady";1
36;"Laura Robson";1
37;"Katerina Siniakova";1
38;"Eugenie Bouchard";1
39;"Caroline Garcia";1
40;"Pauline Parmentier";1
41;"Ana Konjuh";1
42;"Kiki Bertens";1
43;"Kurumi Nara";1
44;"Stefanie Voegele";1
45;"Varvara Lepchenko";1
46;"Shuai Peng";1
47;"Timea Bacsinszky";1
48;"Vitalia Diatchenko";1
49;"Karolina Pliskova";1
50;"Sofia Kenin";1
51;"Montserrat Gonzalez";1
52;"Danka Kovinic";1
53;"Kristina Mladenovic";1
54;"Nao Hibino";1
55;"Anastasia Pavlyuchenkova";1
56;"Louisa Chirico";1
57;"Laura Siegemund";1
58;"Patricia Maria Tig";1
59;"Nicole Gibbs";1
60;"Aleksandra Krunic";1
61;"Julia Goerges";1
62;"Yanina Wickmayer";1
63;"Venus Williams";1
64;"Kateryna Kozlova";1
65;"Madison Keys";1
66;"Alison Riske";1
67;"Kayla Day";1
68;"Madison Brengle";1
69;"Ying Ying Duan";1
70;"Maria Sakkari";1
71;"Naomi Osaka";1
72;"Coco Vandeweghe";1
73;"Monica Niculescu";1
74;"Barbora Zahlavova Strycova";1
75;"Ana Bogdan";1
76;"Sorana Cirstea";1
77;"Caroline Wozniacki";1
78;"Taylor Townsend";1
79;"Svetlana Kuznetsova";1
80;"Francesca Schiavone";1
81;"Johanna Konta";1
82;"Bethanie Mattek Sands";1
83;"Tsvetana Pironkova";1
84;"Virginie Razzano";1
85;"Andrea Petkovic";1
86;"Kristina Kucova";1
87;"Belinda Bencic";1
88;"Samantha Crawford";1
89;"Saisai Zheng";1
90;"Monica Puig";1
91;"Kateryna Bondarenko";1
92;"Su Wei Hsieh";1
93;"Anastasija Sevastova";1
94;"Anna Karolina Schmiedlova";1
95;"Garbine Muguruza";1
96;"Elise Mertens";1
97;"Roberta Vinci";1
98;"Anna Lena Friedsam";1
99;"Christina Mchale";1
100;"Mona Barthel";1
101;"Yulia Putintseva";1
102;"Sabine Lisicki";1
103;"Carina Witthoeft";1
104;"Misaki Doi";1
105;"Lesia Tsurenko";1
106;"Irina Camelia Begu";1
107;"Yafan Wang";1
108;"Alison Van Uytvanck";1
109;"Evgeniya Rodina";1
110;"Danielle Rose Collins";1
111;"Dominika Cibulkova";1
112;"Magda Linette";1
113;"Petra Kvitova";1
114;"Jelena Ostapenko";1
115;"Cagla Buyukakcay";1
116;"Irina Falconi";1
117;"Lauren Davis";1
118;"Aliaksandra Sasnovich";1
119;"Elina Svitolina";1
120;"Mandy Minella";1
121;"Shelby Rogers";1
122;"Sara Errani";1
123;"Catherine Cartan Bellis";1
124;"Viktorija Golubic";1
125;"Mirjana Lucic";1
126;"Alize Cornet";1
127;"Angelique Kerber";1
128;"Polona Hercog";1
