Id;Label;Attribute
1;"Angelique Kerber";1
2;"Lesia Tsurenko";1
3;"Carina Witthoeft";1
4;"Eri Hozumi";1
5;"Kristyna Pliskova";1
6;"Viktorija Golubic";1
7;"Irina Camelia Begu";1
8;"Yaroslava Shvedova";1
9;"Shuai Peng";1
10;"Darya Kasatkina";1
11;"Eugenie Bouchard";1
12;"Louisa Chirico";1
13;"Pauline Parmentier";1
14;"Misaki Doi";1
15;"Coco Vandeweghe";1
16;"Roberta Vinci";1
17;"Carla Suarez Navarro";1
18;"Jana Cepelova";1
19;"Sorana Cirstea";1
20;"Irina Khromacheva";1
21;"Alison Riske";1
22;"Madison Brengle";1
23;"Shuai Zhang";1
24;"Aliaksandra Sasnovich";1
25;"Anastasija Sevastova";1
26;"Nao Hibino";1
27;"Kristina Kucova";1
28;"Christina Mchale";1
29;"Samantha Crawford";1
30;"Lauren Davis";1
31;"Garbine Muguruza";1
32;"Marina Erakovic";1
33;"Shelby Rogers";1
34;"Simona Halep";1
35;"Ashleigh Barty";1
36;"Annika Beck";1
37;"Mona Barthel";1
38;"Destanee Aiava";1
39;"Monica Puig";1
40;"Patricia Maria Tig";1
41;"Varvara Lepchenko";1
42;"Kiki Bertens";1
43;"Ying Ying Duan";1
44;"Rebecca Sramkova";1
45;"Stefanie Voegele";1
46;"Kurumi Nara";1
47;"Venus Williams";1
48;"Kateryna Kozlova";1
49;"Elina Svitolina";1
50;"Galina Voskoboeva";1
51;"Julia Boserup";1
52;"Francesca Schiavone";1
53;"Natalia Vikhlyantseva";1
54;"Vania King";1
55;"Anastasia Pavlyuchenkova";1
56;"Evgeniya Rodina";1
57;"Jelena Jankovic";1
58;"Laura Siegemund";1
59;"Julia Goerges";1
60;"Katerina Siniakova";1
61;"Jaimee Fourlis";1
62;"Anna Tatishvili";1
63;"Svetlana Kuznetsova";1
64;"Mariana Duque Marino";1
65;"Karolina Pliskova";1
66;"Sara Sorribes Tormo";1
67;"Anna Blinkova";1
68;"Monica Niculescu";1
69;"Jelena Ostapenko";1
70;"Lin Zhu";1
71;"Yulia Putintseva";1
72;"Lara Arruabarrena";1
73;"Daria Gavrilova";1
74;"Naomi Broady";1
75;"Ana Konjuh";1
76;"Kristina Mladenovic";1
77;"Danka Kovinic";1
78;"Saisai Zheng";1
79;"Timea Bacsinszky";1
80;"Camila Giorgi";1
81;"Elena Vesnina";1
82;"Ana Bogdan";1
83;"Mandy Minella";1
84;"Magda Linette";1
85;"Jennifer Brady";1
86;"Maryna Zanevska";1
87;"Heather Watson";1
88;"Samantha Stosur";1
89;"Alize Cornet";1
90;"Myrtille Georges";1
91;"Maria Sakkari";1
92;"Anett Kontaveit";1
93;"Mirjana Lucic";1
94;"Qiang Wang";1
95;"Agnieszka Radwanska";1
96;"Tsvetana Pironkova";1
97;"Dominika Cibulkova";1
98;"Denisa Allertova";1
99;"Su Wei Hsieh";1
100;"Karin Knapp";1
101;"Sara Errani";1
102;"Risa Ozaki";1
103;"Ekaterina Makarova";1
104;"Ekaterina Alexandrova";1
105;"Caroline Wozniacki";1
106;"Arina Rodionova";1
107;"Donna Vekic";1
108;"Lizette Cabrera";1
109;"Naomi Osaka";1
110;"Luksika Kumkhum";1
111;"Johanna Konta";1
112;"Kirsten Flipkens";1
113;"Barbora Zahlavova Strycova";1
114;"Elizaveta Kulichkova";1
115;"Andrea Petkovic";1
116;"Kayla Day";1
117;"Oceane Dodin";1
118;"Cagla Buyukakcay";1
119;"Caroline Garcia";1
120;"Kateryna Bondarenko";1
121;"Nicole Gibbs";1
122;"Timea Babos";1
123;"Irina Falconi";1
124;"Xinyun Han";1
125;"Lucie Safarova";1
126;"Yanina Wickmayer";1
127;"Serena Williams";1
128;"Belinda Bencic";1
