Id;Label;Attribute
1;"Novak Djokovic";1
2;"Philipp Kohlschreiber";1
3;"Jarkko Nieminen";1
4;"Lleyton Hewitt";1
5;"Pierre Hugues Herbert";1
6;"Hyeon Chung";1
7;"Bernard Tomic";1
8;"Jan Lennard Struff";1
9;"Leonardo Mayer";1
10;"Thanasi Kokkinakis";1
11;"Marcel Granollers";1
12;"Janko Tipsarevic";1
13;"Marsel Ilhan";1
14;"Jerzy Janowicz";1
15;"Kevin Anderson";1
16;"Lucas Pouille";1
17;"Marin Cilic";1
18;"Hiroki Moriya";1
19;"Ricardas Berankis";1
20;"Andreas Haider Maurer";1
21;"Matthew Ebden";1
22;"Blaz Rola";1
23;"John Isner";1
24;"Go Soeda";1
25;"Denis Kudla";1
26;"Pablo Cuevas";1
27;"Alexander Zverev";1
28;"Teymuraz Gabashvili";1
29;"Santiago Giraldo";1
30;"Joao Souza";1
31;"Kei Nishikori";1
32;"Simone Bolelli";1
33;"Stanislas Wawrinka";1
34;"Joao Sousa";1
35;"Victor Estrella";1
36;"Benjamin Becker";1
37;"Fernando Verdasco";1
38;"Martin Klizan";1
39;"Dominic Thiem";1
40;"Dudi Sela";1
41;"John Millman";1
42;"Tommy Robredo";1
43;"Marcos Baghdatis";1
44;"Donald Young";1
45;"Liam Broady";1
46;"Marinko Matosevic";1
47;"David Goffin";1
48;"Horacio Zeballos";1
49;"Grigor Dimitrov";1
50;"Federico Delbonis";1
51;"Steve Johnson";1
52;"Lukas Lacko";1
53;"Kenny De Schepper";1
54;"John Patrick Smith";1
55;"Richard Gasquet";1
56;"Luke Saville";1
57;"Nick Kyrgios";1
58;"Diego Sebastian Schwartzman";1
59;"Juan Monaco";1
60;"Florian Mayer";1
61;"Tommy Haas";1
62;"Dusan Lajovic";1
63;"Milos Raonic";1
64;"Daniel Gimeno Traver";1
65;"James Ward";1
66;"Luca Vanni";1
67;"Jiri Vesely";1
68;"Paolo Lorenzi";1
69;"Vasek Pospisil";1
70;"Vincent Millot";1
71;"Fabio Fognini";1
72;"Tim Smyczek";1
73;"Viktor Troicki";1
74;"Aleksandr Nedovyesov";1
75;"Aljaz Bedene";1
76;"Radek Stepanek";1
77;"Dustin Brown";1
78;"Yen Hsun Lu";1
79;"Rafael Nadal";1
80;"Thomaz Bellucci";1
81;"Jo Wilfried Tsonga";1
82;"Gilles Muller";1
83;"Albert Ramos";1
84;"Denis Istomin";1
85;"Alexandr Dolgopolov";1
86;"Kyle Edmund";1
87;"Ivo Karlovic";1
88;"Elias Ymer";1
89;"Andreas Seppi";1
90;"Brydan Klein";1
91;"Borna Coric";1
92;"Sergiy Stakhovsky";1
93;"Robin Haase";1
94;"Alejandro Falla";1
95;"Andy Murray";1
96;"Mikhail Kukushkin";1
97;"Tomas Berdych";1
98;"Jeremy Chardy";1
99;"Nicolas Mahut";1
100;"Filip Krajinovic";1
101;"Lukas Rosol";1
102;"Ernests Gulbis";1
103;"Pablo Andujar";1
104;"Guillermo Garcia Lopez";1
105;"Gael Monfils";1
106;"Pablo Carreno Busta";1
107;"Adrian Mannarino";1
108;"Michael Berrer";1
109;"Blaz Kavcic";1
110;"Yuichi Sugita";1
111;"Gilles Simon";1
112;"Nicolas Almagro";1
113;"Feliciano Lopez";1
114;"Steve Darcis";1
115;"Nikoloz Basilashvili";1
116;"Facundo Bagnis";1
117;"Benoit Paire";1
118;"Mikhail Youzhny";1
119;"Roberto Bautista Agut";1
120;"Ruben Bemelmans";1
121;"Samuel Groth";1
122;"Jack Sock";1
123;"James Duckworth";1
124;"Malek Jaziri";1
125;"Sam Querrey";1
126;"Igor Sijsling";1
127;"Roger Federer";1
128;"Damir Dzumhur";1
