Source;Target;Label;Weight
5;1;C;5
9;1;2;2
23;1;3;1
30;1;C;5
32;1;C1;10
37;1;C;5
43;1;C;5
45;1;C;5
47;1;C;5
50;1;L;0.5
53;1;C;5
55;1;C;5
57;1;C3;6
60;1;C;5
76;1;C;5
79;1;L;0.5
82;1;C;5
91;1;C;5
107;1;C;5
124;1;2;2
17;2;2;2
18;2;C;5
42;2;1;5
57;2;1;5
80;2;C;5
87;2;C;5
36;3;2;2
58;3;C;5
62;3;C;5
79;3;C;5
88;3;C;5
104;3;C;5
110;3;C;5
116;3;C;5
121;3;3;1
127;3;C;5
1;5;C;5
30;5;C;5
32;5;C;5
37;5;C;5
43;5;C;5
45;5;C;5
47;5;C;5
50;5;3;1
53;5;C;5
55;5;C;5
57;5;C;5
60;5;C;5
76;5;C;5
82;5;C;5
88;5;2;2
91;5;C;5
103;5;1;5
107;5;C;5
39;6;C;5
41;6;C;5
59;6;C;5
70;6;C;5
93;6;C;5
100;6;C;5
38;7;C;5
66;7;2;2
67;7;1;5
1;9;2;2
43;9;1;5
52;9;1;5
56;9;C;5
82;9;1;5
83;9;C;5
85;9;C;5
106;9;C;5
123;9;3;1
127;9;L;0.5
33;10;2;2
104;10;1;5
110;10;2;2
118;10;1;5
17;11;C;5
22;11;1;5
23;11;2;2
97;11;1;5
112;11;3;1
117;11;C;5
123;11;C;5
24;12;C;5
28;12;C;5
68;12;C;5
92;12;C;5
101;12;1;5
114;12;2;2
119;12;C;5
55;14;1;5
64;14;C;5
79;14;1;5
88;14;1;5
22;15;C;5
55;15;2;2
72;15;C;5
99;15;1;5
101;15;C;5
106;15;2;2
127;15;2;2
19;16;2;2
46;16;1;5
54;16;C;5
61;16;3;1
64;16;2;2
66;16;C;5
78;16;C1;10
126;16;3;1
2;17;2;2
11;17;C;5
41;17;3;1
114;17;3;1
117;17;C;5
123;17;C;5
2;18;C;5
80;18;C;5
81;18;1;5
87;18;C;5
112;18;3;1
16;19;2;2
57;19;1;5
84;19;1;5
96;19;1;5
127;19;2;2
25;20;1;5
59;20;1;5
95;20;2;2
112;20;2;2
126;20;1;5
11;22;1;5
15;22;C;5
35;22;1;5
72;22;C;5
101;22;C;5
1;23;3;1
11;23;2;2
32;23;2;2
75;23;C;5
89;23;C;5
102;23;C;5
103;23;C;5
114;23;3;1
123;23;1;5
12;24;C;5
28;24;C;5
35;24;1;5
63;24;1;5
68;24;C;5
92;24;C;5
106;24;1;5
119;24;C;5
20;25;1;5
33;25;CL;5.5
42;25;2;2
51;25;C;5
62;25;1;5
69;25;C;5
73;25;C;5
97;25;3;1
109;25;C;5
110;25;2;2
114;25;C;5
114;26;1;5
12;28;C;5
24;28;C;5
66;28;2;2
68;28;C;5
84;28;1;5
92;28;C;5
119;28;C1;10
123;28;1;5
52;29;1;5
78;29;2;2
79;29;L;0.5
107;29;2;2
110;29;3;1
1;30;C;5
5;30;C;5
32;30;C;5
37;30;C;5
43;30;C;5
45;30;C;5
47;30;C;5
53;30;C;5
55;30;C;5
57;30;C;5
60;30;C;5
61;30;2;2
67;30;2;2
76;30;C;5
79;30;3;1
82;30;C;5
84;30;1;5
91;30;C;5
107;30;C;5
119;30;1;5
48;31;3;1
81;31;L;0.5
87;31;1;5
117;31;1;5
118;31;3;1
119;31;L;0.5
1;32;C1;10
5;32;C;5
23;32;2;2
30;32;C;5
37;32;C;5
43;32;C;5
45;32;C;5
47;32;C;5
53;32;C;5
55;32;C;5
57;32;C;5
60;32;C;5
69;32;1;5
76;32;C;5
82;32;C;5
91;32;C;5
106;32;3;1
107;32;C;5
10;33;2;2
25;33;CL;5.5
35;33;2;2
51;33;C;5
54;33;3;1
55;33;3;1
69;33;C;5
73;33;C;5
89;33;1;5
104;33;3;1
109;33;C;5
114;33;CL;5.5
121;33;1;5
22;35;1;5
24;35;1;5
33;35;2;2
48;35;C;5
57;35;2;2
71;35;C;5
84;35;C;5
90;35;C2;7
96;35;1;5
98;35;C;5
102;35;3;1
105;35;C;5
112;35;C;5
3;36;2;2
43;36;1;5
52;36;C;5
77;36;1;5
118;36;C;5
1;37;C;5
5;37;C;5
30;37;C;5
32;37;C;5
43;37;C;5
45;37;C;5
47;37;C;5
53;37;C;5
54;37;2;2
55;37;C;5
57;37;C;5
60;37;C;5
69;37;2;2
76;37;C;5
81;37;1;5
82;37;C;5
91;37;C;5
93;37;1;5
107;37;C;5
113;37;3;1
115;37;1;5
7;38;C;5
95;38;2;2
121;38;1;5
6;39;C;5
41;39;C;5
59;39;C;5
63;39;2;2
68;39;2;2
70;39;C;5
73;39;3;1
93;39;C;5
100;39;C;5
114;39;2;2
41;40;2;2
73;40;1;5
6;41;C;5
17;41;3;1
39;41;C;5
40;41;2;2
46;41;2;2
53;41;1;5
59;41;C;5
70;41;C;5
87;41;1;5
93;41;C;5
100;41;C;5
115;41;1;5
2;42;1;5
25;42;2;2
46;42;1;5
94;42;C;5
95;42;C;5
111;42;C;5
113;42;1;5
126;42;C;5
1;43;C;5
5;43;C;5
9;43;1;5
30;43;C;5
32;43;C;5
36;43;1;5
37;43;C;5
45;43;C;5
47;43;C;5
51;43;2;2
53;43;C;5
55;43;C;5
57;43;C;5
60;43;C;5
76;43;C;5
79;43;2;2
82;43;C;5
91;43;C;5
106;43;2;2
107;43;C;5
49;44;C;5
50;44;C;5
59;44;1;5
66;44;1;5
77;44;C;5
81;44;C;5
96;44;C;5
1;45;C;5
5;45;C;5
30;45;C;5
32;45;C;5
37;45;C;5
43;45;C;5
47;45;C;5
53;45;C;5
55;45;C;5
57;45;C;5
60;45;C;5
76;45;C;5
82;45;C;5
91;45;C;5
107;45;C;5
16;46;1;5
41;46;2;2
42;46;1;5
102;46;1;5
106;46;3;1
113;46;2;2
1;47;C;5
5;47;C;5
30;47;C;5
32;47;C;5
37;47;C;5
43;47;C;5
45;47;C;5
53;47;C;5
55;47;C;5
57;47;C;5
60;47;C;5
76;47;C;5
82;47;C;5
90;47;2;2
91;47;C;5
107;47;C;5
31;48;3;1
35;48;C;5
71;48;C;5
81;48;L;0.5
84;48;C;5
89;48;3;1
90;48;C;5
95;48;L;0.5
97;48;3;1
98;48;C;5
101;48;2;2
105;48;C;5
111;48;2;2
112;48;C;5
115;48;2;2
44;49;C;5
50;49;C;5
76;49;2;2
77;49;C;5
78;49;1;5
81;49;C;5
96;49;C;5
104;49;2;2
1;50;L;0.5
5;50;3;1
44;50;C;5
49;50;C;5
53;50;2;2
60;50;2;2
61;50;2;2
71;50;1;5
77;50;C;5
81;50;C;5
96;50;C;5
25;51;C;5
33;51;C;5
43;51;2;2
69;51;C;5
73;51;C;5
78;51;3;1
109;51;C;5
114;51;C;5
115;51;1;5
9;52;1;5
29;52;1;5
36;52;C;5
76;52;1;5
95;52;3;1
118;52;C;5
1;53;C;5
5;53;C;5
30;53;C;5
32;53;C;5
37;53;C;5
41;53;1;5
43;53;C;5
45;53;C;5
47;53;C;5
50;53;2;2
55;53;C;5
57;53;C;5
60;53;C;5
76;53;C;5
82;53;C;5
91;53;C;5
107;53;C;5
113;53;1;5
119;53;3;1
16;54;C;5
33;54;3;1
37;54;2;2
66;54;C;5
78;54;C;5
1;55;C;5
5;55;C;5
14;55;1;5
15;55;2;2
30;55;C;5
32;55;C;5
33;55;3;1
37;55;C;5
43;55;C;5
45;55;C;5
47;55;C;5
53;55;C;5
56;55;1;5
57;55;C;5
60;55;C;5
64;55;2;2
72;55;1;5
76;55;C;5
81;55;3;1
82;55;C;5
91;55;C;5
107;55;C;5
123;55;2;2
9;56;C;5
55;56;1;5
69;56;1;5
83;56;C;5
85;56;C;5
95;56;3;1
106;56;C;5
117;56;2;2
1;57;C3;6
2;57;1;5
5;57;C;5
19;57;1;5
30;57;C;5
32;57;C;5
35;57;2;2
37;57;C;5
43;57;C;5
45;57;C;5
47;57;C;5
53;57;C;5
55;57;C;5
60;57;C;5
76;57;C;5
82;57;C;5
91;57;C;5
103;57;2;2
107;57;C;5
112;57;2;2
3;58;C;5
62;58;C;5
79;58;C;5
88;58;C;5
104;58;C;5
110;58;C;5
116;58;C;5
127;58;C;5
6;59;C;5
20;59;1;5
39;59;C;5
41;59;C;5
44;59;1;5
63;59;3;1
70;59;C;5
93;59;C;5
100;59;C;5
106;59;1;5
110;59;2;2
1;60;C;5
5;60;C;5
30;60;C;5
32;60;C;5
37;60;C;5
43;60;C;5
45;60;C;5
47;60;C;5
50;60;2;2
53;60;C;5
55;60;C;5
57;60;C;5
76;60;C;5
79;60;1;5
82;60;C;5
91;60;C;5
107;60;C;5
16;61;3;1
30;61;2;2
50;61;2;2
78;61;1;5
97;61;3;1
3;62;C;5
25;62;1;5
58;62;C;5
79;62;C;5
88;62;C;5
92;62;1;5
104;62;C;5
110;62;C;5
112;62;2;2
116;62;C;5
127;62;C;5
24;63;1;5
39;63;2;2
59;63;3;1
73;63;2;2
119;63;2;2
14;64;C;5
16;64;2;2
55;64;2;2
72;64;2;2
98;64;1;5
7;66;2;2
16;66;C;5
28;66;2;2
44;66;1;5
54;66;C;5
73;66;2;2
76;66;1;5
78;66;C;5
90;66;3;1
103;66;1;5
114;66;3;1
7;67;1;5
30;67;2;2
79;67;2;2
114;67;2;2
12;68;C;5
24;68;C;5
28;68;C;5
39;68;2;2
92;68;C;5
119;68;C;5
25;69;C;5
32;69;1;5
33;69;C;5
37;69;2;2
51;69;C;5
56;69;1;5
73;69;C;5
109;69;C;5
114;69;C;5
6;70;C;5
39;70;C;5
41;70;C;5
59;70;C;5
93;70;C;5
100;70;C;5
35;71;C;5
48;71;C;5
50;71;1;5
84;71;C;5
90;71;C;5
97;71;2;2
98;71;C;5
105;71;C;5
112;71;C;5
114;71;1;5
15;72;C;5
22;72;C;5
55;72;1;5
64;72;2;2
87;72;1;5
95;72;3;1
101;72;C;5
112;72;3;1
117;72;1;5
119;72;L;0.5
25;73;C;5
33;73;C;5
39;73;3;1
40;73;1;5
51;73;C;5
63;73;2;2
66;73;2;2
69;73;C;5
90;73;2;2
96;73;1;5
109;73;C;5
114;73;C;5
23;75;C;5
89;75;C;5
102;75;C;5
103;75;C;5
1;76;C;5
5;76;C;5
30;76;C;5
32;76;C;5
37;76;C;5
43;76;C;5
45;76;C;5
47;76;C;5
49;76;2;2
52;76;1;5
53;76;C;5
55;76;C;5
57;76;C;5
60;76;C;5
66;76;1;5
82;76;C;5
88;76;1;5
89;76;2;2
91;76;C;5
107;76;C;5
127;76;3;1
36;77;1;5
44;77;C;5
49;77;C;5
50;77;C;5
81;77;C;5
96;77;C;5
102;77;1;5
111;77;2;2
119;77;3;1
16;78;C1;10
29;78;2;2
49;78;1;5
51;78;3;1
54;78;C;5
61;78;1;5
66;78;C;5
1;79;L;0.5
3;79;C;5
14;79;1;5
29;79;L;0.5
30;79;3;1
43;79;2;2
58;79;C;5
60;79;1;5
62;79;C;5
67;79;2;2
82;79;1;5
88;79;C;5
103;79;3;1
104;79;C;5
110;79;C;5
114;79;L;0.5
116;79;C;5
121;79;3;1
127;79;C;5
2;80;C;5
18;80;C;5
87;80;C;5
18;81;1;5
31;81;L;0.5
37;81;1;5
44;81;C;5
48;81;L;0.5
49;81;C;5
50;81;C;5
55;81;3;1
77;81;C;5
96;81;C;5
103;81;1;5
1;82;C;5
5;82;C;5
9;82;1;5
30;82;C;5
32;82;C;5
37;82;C;5
43;82;C;5
45;82;C;5
47;82;C;5
53;82;C;5
55;82;C;5
57;82;C;5
60;82;C;5
76;82;C;5
79;82;1;5
91;82;C;5
107;82;C;5
9;83;C;5
56;83;C;5
85;83;C;5
87;83;2;2
97;83;2;2
99;83;3;1
106;83;C;5
111;83;1;5
124;83;1;5
19;84;1;5
28;84;1;5
30;84;1;5
35;84;C;5
48;84;C;5
71;84;C;5
90;84;C;5
98;84;C;5
105;84;C;5
112;84;C;5
9;85;C;5
56;85;C;5
83;85;C;5
106;85;C;5
2;87;C;5
18;87;C;5
31;87;1;5
41;87;1;5
72;87;1;5
80;87;C;5
83;87;2;2
118;87;2;2
3;88;C;5
5;88;2;2
14;88;1;5
58;88;C;5
62;88;C;5
76;88;1;5
79;88;C;5
99;88;2;2
104;88;C;5
110;88;C;5
116;88;C;5
127;88;C;5
23;89;C;5
33;89;1;5
48;89;3;1
75;89;C;5
76;89;2;2
102;89;C;5
103;89;C;5
121;89;1;5
35;90;C2;7
47;90;2;2
48;90;C;5
66;90;3;1
71;90;C;5
73;90;2;2
84;90;C;5
95;90;L;0.5
98;90;C;5
105;90;C;5
112;90;C;5
127;90;3;1
1;91;C;5
5;91;C;5
30;91;C;5
32;91;C;5
37;91;C;5
43;91;C;5
45;91;C;5
47;91;C;5
53;91;C;5
55;91;C;5
57;91;C;5
60;91;C;5
76;91;C;5
82;91;C;5
107;91;C;5
12;92;C;5
24;92;C;5
28;92;C;5
62;92;1;5
68;92;C;5
119;92;C;5
6;93;C;5
37;93;1;5
39;93;C;5
41;93;C;5
59;93;C;5
70;93;C;5
100;93;C;5
101;93;1;5
42;94;C;5
95;94;C;5
111;94;C;5
126;94;C;5
127;94;2;2
20;95;2;2
38;95;2;2
42;95;C;5
48;95;L;0.5
52;95;3;1
56;95;3;1
72;95;3;1
90;95;L;0.5
94;95;C;5
97;95;L;0.5
104;95;L;0.5
111;95;C;5
126;95;C;5
19;96;1;5
35;96;1;5
44;96;C;5
49;96;C;5
50;96;C;5
73;96;1;5
77;96;C;5
81;96;C;5
11;97;1;5
25;97;3;1
48;97;3;1
61;97;3;1
71;97;2;2
83;97;2;2
95;97;L;0.5
106;97;L;0.5
112;97;L;0.5
126;97;2;2
127;97;L;0.5
35;98;C;5
48;98;C;5
64;98;1;5
71;98;C;5
84;98;C;5
90;98;C;5
101;98;1;5
105;98;C;5
112;98;C;5
15;99;1;5
83;99;3;1
88;99;2;2
6;100;C;5
39;100;C;5
41;100;C;5
59;100;C;5
70;100;C;5
93;100;C;5
12;101;1;5
15;101;C;5
22;101;C;5
48;101;2;2
72;101;C;5
93;101;1;5
98;101;1;5
23;102;C;5
35;102;3;1
46;102;1;5
75;102;C;5
77;102;1;5
89;102;C;5
103;102;C;5
113;102;2;2
5;103;1;5
23;103;C;5
57;103;2;2
66;103;1;5
75;103;C;5
79;103;3;1
81;103;1;5
89;103;C;5
102;103;C;5
3;104;C;5
10;104;1;5
33;104;3;1
49;104;2;2
58;104;C;5
62;104;C;5
79;104;C;5
88;104;C;5
95;104;L;0.5
110;104;C;5
116;104;C;5
127;104;C;5
35;105;C;5
48;105;C;5
71;105;C;5
84;105;C;5
90;105;C;5
98;105;C;5
112;105;C;5
9;106;C;5
15;106;2;2
24;106;1;5
32;106;3;1
43;106;2;2
46;106;3;1
56;106;C;5
59;106;1;5
83;106;C;5
85;106;C;5
97;106;L;0.5
121;106;2;2
1;107;C;5
5;107;C;5
29;107;2;2
30;107;C;5
32;107;C;5
37;107;C;5
43;107;C;5
45;107;C;5
47;107;C;5
53;107;C;5
55;107;C;5
57;107;C;5
60;107;C;5
76;107;C;5
82;107;C;5
91;107;C;5
110;107;1;5
124;107;1;10
25;109;C;5
33;109;C;5
51;109;C;5
69;109;C;5
73;109;C;5
114;109;C;5
3;110;C;5
10;110;2;2
25;110;2;2
29;110;3;1
58;110;C;5
59;110;2;2
62;110;C;5
79;110;C;5
88;110;C;5
104;110;C;5
107;110;1;5
116;110;C;5
127;110;C;5
42;111;C;5
48;111;2;2
77;111;2;2
83;111;1;5
94;111;C;5
95;111;C;5
126;111;C;5
11;112;3;1
18;112;3;1
20;112;2;2
35;112;C;5
48;112;C;5
57;112;2;2
62;112;2;2
71;112;C;5
72;112;3;1
84;112;C;5
90;112;C;5
97;112;L;0.5
98;112;C;5
105;112;C;5
37;113;3;1
42;113;1;5
46;113;2;2
53;113;1;5
102;113;2;2
121;113;C;5
12;114;2;2
17;114;3;1
23;114;3;1
25;114;C;5
26;114;1;5
33;114;CL;5.5
39;114;2;2
51;114;C;5
66;114;3;1
67;114;2;2
69;114;C;5
71;114;1;5
73;114;C;5
79;114;L;0.5
109;114;C;5
37;115;1;5
41;115;1;5
48;115;2;2
51;115;1;5
3;116;C;5
58;116;C;5
62;116;C;5
79;116;C;5
88;116;C;5
104;116;C;5
110;116;C;5
127;116;C;5
11;117;C;5
17;117;C;5
31;117;1;5
56;117;2;2
72;117;1;5
123;117;C;5
10;118;1;5
31;118;3;1
36;118;C;5
52;118;C;5
87;118;2;2
12;119;C;5
24;119;C;5
28;119;C1;10
30;119;1;5
31;119;L;0.5
53;119;3;1
63;119;2;2
68;119;C;5
72;119;L;0.5
77;119;3;1
92;119;C;5
3;121;3;1
33;121;1;5
38;121;1;5
79;121;3;1
89;121;1;5
106;121;2;2
113;121;C;5
9;123;3;1
11;123;C;5
17;123;C;5
23;123;1;5
28;123;1;5
55;123;2;2
117;123;C;5
1;124;2;2
83;124;1;5
107;124;1;10
16;126;3;1
20;126;1;5
42;126;C;5
94;126;C;5
95;126;C;5
97;126;2;2
111;126;C;5
3;127;C;5
9;127;L;0.5
15;127;2;2
19;127;2;2
58;127;C;5
62;127;C;5
76;127;3;1
79;127;C;5
88;127;C;5
90;127;3;1
94;127;2;2
97;127;L;0.5
104;127;C;5
110;127;C;5
116;127;C;5
