Id;Label;Attribute
1;"Novak Djokovic";1
2;"Jarkko Nieminen";1
3;"Gilles Muller";1
4;"Paolo Lorenzi";1
5;"Thanasi Kokkinakis";1
6;"Nikoloz Basilashvili";1
7;"Bernard Tomic";1
8;"Luca Vanni";1
9;"Richard Gasquet";1
10;"Germain Gigounon";1
11;"Carlos Berlocq";1
12;"Illya Marchenko";1
13;"Yen Hsun Lu";1
14;"Blaz Kavcic";1
15;"Kevin Anderson";1
16;"Tim Smyczek";1
17;"Jack Sock";1
18;"Grigor Dimitrov";1
19;"Pablo Carreno Busta";1
20;"Victor Estrella";1
21;"Borna Coric";1
22;"Sam Querrey";1
23;"Tommy Robredo";1
24;"Andrey Golubev";1
25;"Jurgen Melzer";1
26;"Adrian Mannarino";1
27;"Andrey Kuznetsov";1
28;"Malek Jaziri";1
29;"Nicolas Almagro";1
30;"Alexandr Dolgopolov";1
31;"Rafael Nadal";1
32;"Quentin Halys";1
33;"Andy Murray";1
34;"Facundo Arguello";1
35;"Joao Sousa";1
36;"Vasek Pospisil";1
37;"Kyle Edmund";1
38;"Stephane Robert";1
39;"Nick Kyrgios";1
40;"Denis Istomin";1
41;"David Goffin";1
42;"Filip Krajinovic";1
43;"Santiago Giraldo";1
44;"Donald Young";1
45;"Jeremy Chardy";1
46;"Michael Berrer";1
47;"John Isner";1
48;"Andreas Seppi";1
49;"Marin Cilic";1
50;"Robin Haase";1
51;"Andrea Arnaboldi";1
52;"James Duckworth";1
53;"Jerzy Janowicz";1
54;"Maxime Hamou";1
55;"Leonardo Mayer";1
56;"Jiri Vesely";1
57;"Viktor Troicki";1
58;"Jan Lennard Struff";1
59;"Simone Bolelli";1
60;"Steve Darcis";1
61;"Daniel Gimeno Traver";1
62;"Joao Souza";1
63;"David Ferrer";1
64;"Lukas Lacko";1
65;"Kei Nishikori";1
66;"Paul Henri Mathieu";1
67;"Thomaz Bellucci";1
68;"Marinko Matosevic";1
69;"Benjamin Becker";1
70;"Ruben Bemelmans";1
71;"Fernando Verdasco";1
72;"Taro Daniel";1
73;"Roberto Bautista Agut";1
74;"Florian Mayer";1
75;"Lukas Rosol";1
76;"Elias Ymer";1
77;"Juan Monaco";1
78;"Federico Delbonis";1
79;"Teymuraz Gabashvili";1
80;"Feliciano Lopez";1
81;"Jo Wilfried Tsonga";1
82;"Christian Lindell";1
83;"Dudi Sela";1
84;"Mikhail Kukushkin";1
85;"Pablo Andujar";1
86;"Albert Ramos";1
87;"Philipp Kohlschreiber";1
88;"Go Soeda";1
89;"Fabio Fognini";1
90;"Tatsuma Ito";1
91;"Benoit Paire";1
92;"Gastao Elias";1
93;"Radek Stepanek";1
94;"Ivan Dodig";1
95;"Tomas Berdych";1
96;"Yoshihito Nishioka";1
97;"Stanislas Wawrinka";1
98;"Marsel Ilhan";1
99;"Dusan Lajovic";1
100;"Maximo Gonzalez";1
101;"Sergiy Stakhovsky";1
102;"Ricardas Berankis";1
103;"Steve Johnson";1
104;"Guillermo Garcia Lopez";1
105;"Ernests Gulbis";1
106;"Igor Sijsling";1
107;"Nicolas Mahut";1
108;"Kimmer Coppejans";1
109;"Martin Klizan";1
110;"Francis Tiafoe";1
111;"Gilles Simon";1
112;"Lucas Pouille";1
113;"Gael Monfils";1
114;"Edouard Roger Vasselin";1
115;"Diego Sebastian Schwartzman";1
116;"Andreas Haider Maurer";1
117;"Dominic Thiem";1
118;"Aljaz Bedene";1
119;"Pablo Cuevas";1
120;"Samuel Groth";1
121;"Marcos Baghdatis";1
122;"Ivo Karlovic";1
123;"Damir Dzumhur";1
124;"Mikhail Youzhny";1
125;"Marcel Granollers";1
126;"Matthias Bachinger";1
127;"Roger Federer";1
128;"Alejandro Falla";1
