Id;Label;Attribute
1;"Serena Williams";1
2;"Ashleigh Barty";1
3;"Vesna Dolonc";1
4;"Lara Arruabarrena";1
5;"Karolina Pliskova";1
6;"Pauline Parmentier";1
7;"Daniela Hantuchova";1
8;"Heather Watson";1
9;"Samantha Stosur";1
10;"Klara Koukalova";1
11;"Tsvetana Pironkova";1
12;"Silvia Soler Espinosa";1
13;"Annika Beck";1
14;"Petra Martic";1
15;"Ana Ivanovic";1
16;"Kiki Bertens";1
17;"Jie Zheng";1
18;"Roberta Vinci";1
19;"Madison Keys";1
20;"Patricia Mayr Achleitner";1
21;"Casey Dellacqua";1
22;"Vera Zvonareva";1
23;"Kirsten Flipkens";1
24;"Laura Robson";1
25;"Eugenie Bouchard";1
26;"Hao Chen Tang";1
27;"Virginie Razzano";1
28;"Alison Van Uytvanck";1
29;"Lauren Davis";1
30;"Sachia Vickery";1
31;"Julia Goerges";1
32;"Sara Errani";1
33;"Na Li";1
34;"Ana Konjuh";1
35;"Belinda Bencic";1
36;"Kimiko Date";1
37;"Lucie Hradecka";1
38;"Donna Vekic";1
39;"Lucie Safarova";1
40;"Julia Glushko";1
41;"Ekaterina Makarova";1
42;"Venus Williams";1
43;"Irina Falconi";1
44;"Anabel Medina Garrigues";1
45;"Monica Niculescu";1
46;"Shahar Peer";1
47;"Sabine Lisicki";1
48;"Mirjana Lucic";1
49;"Angelique Kerber";1
50;"Jarmila Gajdosova";1
51;"Alla Kudryavtseva";1
52;"Caroline Garcia";1
53;"Yanina Wickmayer";1
54;"Dinah Pfizenmaier";1
55;"Alison Riske";1
56;"Elena Vesnina";1
57;"Flavia Pennetta";1
58;"Alexandra Cadantu";1
59;"Monica Puig";1
60;"Anna Tatishvili";1
61;"Mona Barthel";1
62;"Shuai Zhang";1
63;"Luksika Kumkhum";1
64;"Petra Kvitova";1
65;"Jelena Jankovic";1
66;"Misaki Doi";1
67;"Ayumi Morita";1
68;"Nadiya Kichenok";1
69;"Kurumi Nara";1
70;"Shuai Peng";1
71;"Magdalena Rybarikova";1
72;"Andrea Petkovic";1
73;"Marina Erakovic";1
74;"Sorana Cirstea";1
75;"Zarina Diyas";1
76;"Katerina Siniakova";1
77;"Varvara Lepchenko";1
78;"Lesia Tsurenko";1
79;"Simona Halep";1
80;"Katarzyna Piter";1
81;"Carla Suarez Navarro";1
82;"Vania King";1
83;"Galina Voskoboeva";1
84;"Irina Camelia Begu";1
85;"Stefanie Voegele";1
86;"Kristina Mladenovic";1
87;"Dominika Cibulkova";1
88;"Francesca Schiavone";1
89;"Alize Cornet";1
90;"Polona Hercog";1
91;"Camila Giorgi";1
92;"Storm Sanders";1
93;"Karin Knapp";1
94;"Paula Ormaechea";1
95;"Maria Sharapova";1
96;"Bethanie Mattek Sands";1
97;"Agnieszka Radwanska";1
98;"Yulia Putintseva";1
99;"Olga Govortsova";1
100;"Ying Ying Duan";1
101;"Mandy Minella";1
102;"Carina Witthoeft";1
103;"Anastasia Pavlyuchenkova";1
104;"Teliana Pereira";1
105;"Garbine Muguruza";1
106;"Kaia Kanepi";1
107;"Anna Karolina Schmiedlova";1
108;"Timea Babos";1
109;"Christina Mchale";1
110;"Yung Jan Chan";1
111;"Caroline Wozniacki";1
112;"Lourdes Dominguez Lino";1
113;"Sloane Stephens";1
114;"Yaroslava Shvedova";1
115;"Ajla Tomljanovic";1
116;"Tadeja Majeric";1
117;"Olivia Rogowska";1
118;"Mariana Duque Marino";1
119;"Elina Svitolina";1
120;"Svetlana Kuznetsova";1
121;"Bojana Jovanovski";1
122;"Jana Cepelova";1
123;"Yvonne Meusburger";1
124;"Chanelle Scheepers";1
125;"Barbora Zahlavova Strycova";1
126;"Su Wei Hsieh";1
127;"Victoria Azarenka";1
128;"Johanna Larsson";1
