Id;Label;Attribute
1;"Serena Williams";1
2;"Camila Giorgi";1
3;"Su Wei Hsieh";1
4;"Jelena Ostapenko";1
5;"Ana Konjuh";1
6;"Urszula Radwanska";1
7;"Darya Kasatkina";1
8;"Anna Karolina Schmiedlova";1
9;"Margarita Gasparyan";1
10;"Sara Errani";1
11;"Kurumi Nara";1
12;"Oceane Dodin";1
13;"Xinyun Han";1
14;"Mariana Duque Marino";1
15;"Yulia Putintseva";1
16;"Caroline Wozniacki";1
17;"Belinda Bencic";1
18;"Alison Riske";1
19;"Timea Babos";1
20;"Heather Watson";1
21;"Kateryna Bondarenko";1
22;"Ajla Tomljanovic";1
23;"Svetlana Kuznetsova";1
24;"Daniela Hantuchova";1
25;"Lauren Davis";1
26;"Anastasia Pavlyuchenkova";1
27;"Magdalena Rybarikova";1
28;"Yanina Wickmayer";1
29;"Aliaksandra Sasnovich";1
30;"Evgeniya Rodina";1
31;"Maria Sharapova";1
32;"Nao Hibino";1
33;"Agnieszka Radwanska";1
34;"Christina Mchale";1
35;"Eugenie Bouchard";1
36;"Aleksandra Krunic";1
37;"Monica Puig";1
38;"Magda Linette";1
39;"Kristyna Pliskova";1
40;"Samantha Stosur";1
41;"Qiang Wang";1
42;"Sloane Stephens";1
43;"Anna Lena Friedsam";1
44;"Lourdes Dominguez Lino";1
45;"Irina Falconi";1
46;"Anna Tatishvili";1
47;"Roberta Vinci";1
48;"Tamira Paszek";1
49;"Carla Suarez Navarro";1
50;"Viktorija Golubic";1
51;"Maria Sakkari";1
52;"Yafan Wang";1
53;"Monica Niculescu";1
54;"Teliana Pereira";1
55;"Elizaveta Kulichkova";1
56;"Andrea Petkovic";1
57;"Kristina Mladenovic";1
58;"Dominika Cibulkova";1
59;"Nicole Gibbs";1
60;"Klara Koukalova";1
61;"Daria Gavrilova";1
62;"Lucie Hradecka";1
63;"Petra Kvitova";1
64;"Luksika Kumkhum";1
65;"Angelique Kerber";1
66;"Misaki Doi";1
67;"Alexandra Dulgheru";1
68;"Storm Sanders";1
69;"Madison Brengle";1
70;"Coco Vandeweghe";1
71;"Johanna Larsson";1
72;"Irina Camelia Begu";1
73;"Jelena Jankovic";1
74;"Polona Hercog";1
75;"Laura Siegemund";1
76;"Kiki Bertens";1
77;"Annika Beck";1
78;"Priscilla Hon";1
79;"Timea Bacsinszky";1
80;"Katerina Siniakova";1
81;"Victoria Azarenka";1
82;"Alison Van Uytvanck";1
83;"Danka Kovinic";1
84;"Samantha Crawford";1
85;"Naomi Osaka";1
86;"Donna Vekic";1
87;"Elina Svitolina";1
88;"Victoria Duval";1
89;"Barbora Zahlavova Strycova";1
90;"Caroline Garcia";1
91;"Vania King";1
92;"Mona Barthel";1
93;"Kirsten Flipkens";1
94;"Mirjana Lucic";1
95;"Garbine Muguruza";1
96;"Anett Kontaveit";1
97;"Johanna Konta";1
98;"Venus Williams";1
99;"Saisai Zheng";1
100;"Carina Witthoeft";1
101;"Denisa Allertova";1
102;"Bethanie Mattek Sands";1
103;"Sabine Lisicki";1
104;"Petra Cetkovska";1
105;"Ekaterina Makarova";1
106;"Maddison Inglis";1
107;"Tatjana Maria";1
108;"Olga Govortsova";1
109;"Julia Goerges";1
110;"Cristina Andreea Mitu";1
111;"Karolina Pliskova";1
112;"Kimberly Birrell";1
113;"Madison Keys";1
114;"Zarina Diyas";1
115;"Yaroslava Shvedova";1
116;"Tsvetana Pironkova";1
117;"Anastasija Sevastova";1
118;"Jarmila Gajdosova";1
119;"Ana Ivanovic";1
120;"Tammi Patterson";1
121;"Varvara Lepchenko";1
122;"Lesia Tsurenko";1
123;"Lara Arruabarrena";1
124;"Maryna Zanevska";1
125;"Alize Cornet";1
126;"Bojana Jovanovski";1
127;"Shuai Zhang";1
128;"Simona Halep";1
