Source;Target;Label;Weight
9;1;1;5
10;1;L;0.5
18;1;C;5
19;1;2;2
20;1;3;1
25;1;C;5
31;1;L;0.5
34;1;C;5
42;1;C;5
43;1;2;2
45;1;C;5
47;1;L;0.5
58;1;L;0.5
59;1;C;5
69;1;C;5
70;1;C;5
76;1;2;2
79;1;L;0.5
81;1;3L;1.5
82;1;1;5
84;1;C;5
87;1;3;1
88;1;C;5
91;1;C;5
98;1;CL;5.5
102;1;C3;6
113;1;CL;5.5
121;1;C;5
10;2;C;5
16;2;3;1
47;2;C;5
54;2;1;5
71;2;1;5
95;2;2;2
98;2;3;1
103;2;2;2
107;2;1;5
123;2;2;2
10;4;2;2
49;4;1;5
57;4;2;2
77;4;1;5
117;4;C;5
9;5;1;5
27;5;1;5
31;5;2;2
72;5;2;2
86;5;C;5
94;5;C;5
107;5;1;5
125;5;1;5
33;6;C;5
38;6;C1;10
40;6;2;2
114;6;1;5
9;7;C;5
23;7;C;5
26;7;C;5
30;7;C;5
31;7;C;5
55;7;C;5
105;7;C;5
24;8;C;5
27;8;C;5
58;8;C;5
63;8;3;1
70;8;1;5
82;8;1;5
83;8;2;2
109;8;1;5
114;8;2;2
1;9;1;5
5;9;1;5
7;9;C;5
23;9;C;5
26;9;C;5
30;9;C;5
31;9;C;5
55;9;C;5
105;9;C;5
1;10;L;0.5
2;10;C;5
4;10;2;2
18;10;1;5
28;10;3;1
36;10;2;2
40;10;3;1
47;10;C;5
56;10;3;1
100;10;2;2
12;11;1;5
32;11;C;5
33;11;1;5
38;11;1;5
63;11;2;2
66;11;C;5
85;11;C;5
125;11;1;5
11;12;1;5
14;12;2;2
18;12;1;5
57;12;C;5
73;12;1;5
90;12;C;5
111;12;2;2
125;12;C;5
41;13;C;5
52;13;C;5
99;13;C;5
127;13;C;5
12;14;2;2
47;14;3;1
56;14;2;2
21;15;1;5
36;15;1;5
87;15;12;7
98;15;2;2
114;15;C;5
115;15;C;5
2;16;3;1
81;16;2;2
99;16;1;5
101;16;2;2
104;16;2;2
109;16;2;2
24;17;1;5
43;17;2;2
50;17;C;5
66;17;2;2
79;17;C;5
98;17;3;1
102;17;3;1
109;17;1;5
113;17;2;2
116;17;1;5
1;18;C;5
10;18;1;5
12;18;1;5
25;18;C;5
34;18;C;5
35;18;1;5
42;18;C;5
45;18;C;5
59;18;C;5
69;18;C;5
70;18;C;5
84;18;C;5
88;18;C;5
91;18;C;5
98;18;C;5
102;18;C;5
113;18;C;5
121;18;C;5
1;19;2;2
40;19;1;5
65;19;1;5
89;19;1;5
104;19;1;5
1;20;3;1
24;20;2;2
25;20;1;5
42;20;2;2
90;20;1;5
97;20;C;5
116;20;1;5
15;21;1;5
87;21;C;5
122;21;C;5
124;21;C;5
128;21;2;2
33;22;2;2
40;22;C;5
60;22;1;5
61;22;C;5
65;22;2;2
68;22;C;5
78;22;C;5
106;22;C;5
112;22;C;5
118;22;C;5
120;22;C;5
121;22;2;2
7;23;C;5
9;23;C;5
26;23;C;5
30;23;C;5
31;23;C;5
39;23;2;2
55;23;C;5
57;23;1;5
75;23;1;5
76;23;1;5
90;23;1;5
105;23;C;5
8;24;C;5
17;24;1;5
20;24;2;2
27;24;C;5
58;24;C1;10
66;24;1;5
95;24;2;2
99;24;1;5
1;25;C;5
18;25;C;5
20;25;1;5
34;25;C;5
36;25;1;5
42;25;C2;7
45;25;C;5
59;25;C;5
69;25;C;5
70;25;C;5
74;25;1;5
84;25;C;5
88;25;C;5
91;25;C;5
94;25;1;5
98;25;C2;7
102;25;C;5
105;25;2;2
113;25;C;5
121;25;C;5
7;26;C;5
9;26;C;5
23;26;C;5
27;26;1;5
28;26;1;5
30;26;C;5
31;26;C;5
55;26;C;5
65;26;2;2
92;26;1;5
96;26;2;2
105;26;C;5
5;27;1;5
8;27;C;5
24;27;C;5
26;27;1;5
58;27;C;5
105;27;2;2
108;27;3;1
10;28;3;1
26;28;1;5
55;28;1;5
81;28;2;2
82;28;C;5
87;28;1;5
93;28;C;5
123;28;2;2
81;29;C;5
103;29;1;5
108;29;C;5
114;29;2;2
7;30;C;5
9;30;C;5
23;30;C;5
26;30;C;5
31;30;C;5
40;30;2;2
55;30;C;5
73;30;2;2
105;30;C;5
111;30;1;5
128;30;1;5
1;31;L;0.5
5;31;2;2
7;31;C;5
9;31;C;5
23;31;C;5
26;31;C;5
30;31;C;5
35;31;L;0.5
40;31;3;1
55;31;C;5
57;31;3;1
61;31;1;5
70;31;L;0.5
72;31;3;1
97;31;1;5
105;31;CL;5.5
114;31;3;1
11;32;C;5
66;32;C;5
85;32;C;5
6;33;C;5
11;33;1;5
22;33;2;2
38;33;C2;7
62;33;1;5
71;33;2;2
77;33;1;5
80;33;1;5
95;33;L;0.5
113;33;3L;1.5
121;33;3;1
1;34;C;5
18;34;C;5
25;34;C;5
42;34;C;5
44;34;1;5
45;34;C;5
59;34;C;5
69;34;C;5
70;34;C;5
71;34;1;5
84;34;C;5
88;34;C;5
91;34;C;5
98;34;C;5
100;34;2;2
102;34;C;5
103;34;2;2
104;34;1;5
113;34;C;5
121;34;C;5
18;35;1;5
31;35;L;0.5
43;35;1;5
57;35;1;5
58;35;3;1
74;35;2;2
76;35;2;2
90;35;3;1
10;36;2;2
15;36;1;5
25;36;1;5
47;36;1;5
73;36;C;5
83;36;1;5
98;36;3;1
119;36;C;5
126;36;C;5
53;37;1;5
98;37;1;5
103;37;1;5
115;37;2;2
6;38;C1;10
11;38;1;5
33;38;C2;7
23;39;2;2
53;39;3;1
60;39;C;5
62;39;C;5
63;39;C;5
80;39;C;5
89;39;C;5
101;39;C;5
104;39;C;5
111;39;C;5
6;40;2;2
10;40;3;1
19;40;1;5
22;40;C;5
30;40;2;2
31;40;3;1
53;40;1;5
61;40;C;5
68;40;C;5
69;40;1;5
70;40;23;3
78;40;C;5
83;40;1;5
106;40;C;5
112;40;C;5
118;40;C;5
120;40;C;5
13;41;C;5
51;41;1;5
52;41;C;5
74;41;1;5
89;41;2;2
99;41;C;5
127;41;C;5
1;42;C;5
18;42;C;5
20;42;2;2
25;42;C2;7
34;42;C;5
45;42;C;5
59;42;C;5
69;42;C;5
70;42;C1;10
81;42;1;5
84;42;C;5
88;42;C;5
89;42;1;5
91;42;C;5
98;42;C1;10
102;42;C;5
113;42;C;5
116;42;3;1
121;42;C;5
1;43;2;2
17;43;2;2
35;43;1;5
56;43;C;5
65;43;C;5
75;43;C;5
77;43;C;5
92;43;C;5
100;43;C;5
103;43;C;5
107;43;C;5
109;43;C;5
34;44;1;5
49;44;C;5
56;44;2;2
59;44;1;5
95;44;C;5
123;44;C;5
1;45;C;5
18;45;C;5
25;45;C;5
34;45;C;5
42;45;C;5
59;45;C;5
69;45;C2;7
70;45;C;5
84;45;C1;10
88;45;C;5
91;45;C;5
98;45;C2;7
102;45;C;5
109;45;3;1
111;45;1;5
113;45;C;5
121;45;C;5
69;46;2;2
79;46;2;2
111;46;1;5
1;47;L;0.5
2;47;C;5
10;47;C;5
14;47;3;1
36;47;1;5
57;47;L;0.5
91;47;1;5
101;47;2;2
105;47;2;2
125;47;1;5
126;47;1;5
4;49;1;5
44;49;C;5
53;49;1;5
95;49;C;5
100;49;1;5
101;49;1;5
123;49;C;5
17;50;C;5
79;50;C;5
41;51;1;5
13;52;C;5
41;52;C;5
99;52;C;5
127;52;C;5
37;53;1;5
39;53;3;1
40;53;1;5
49;53;1;5
67;53;C;5
72;53;C;5
110;53;C;5
128;53;C;5
2;54;1;5
105;54;12;7
7;55;C;5
9;55;C;5
23;55;C;5
26;55;C;5
28;55;1;5
30;55;C;5
31;55;C;5
87;55;1;5
105;55;C;5
113;55;2;2
10;56;3;1
14;56;2;2
