Id;Label;Attribute
1;"Angelique Kerber";1
2;"Irina Falconi";1
3;"Kirsten Flipkens";1
4;"Misaki Doi";1
5;"Shelby Rogers";1
6;"Julia Boserup";1
7;"Lucie Safarova";1
8;"Oceane Dodin";1
9;"Sorana Cirstea";1
10;"Kiki Bertens";1
11;"Bethanie Mattek Sands";1
12;"Magda Linette";1
13;"Yanina Wickmayer";1
14;"Kateryna Bondarenko";1
15;"Garbine Muguruza";1
16;"Ekaterina Alexandrova";1
17;"Agnieszka Radwanska";1
18;"Jelena Jankovic";1
19;"Christina Mchale";1
20;"Katie Boulter";1
21;"Kristina Kucova";1
22;"Bianca Andreescu";1
23;"Timea Bacsinszky";1
24;"Monica Puig";1
25;"Varvara Lepchenko";1
26;"Lauren Davis";1
27;"Polona Hercog";1
28;"Annika Beck";1
29;"Ekaterina Makarova";1
30;"Alison Van Uytvanck";1
31;"Svetlana Kuznetsova";1
32;"Ons Jabeur";1
33;"Karolina Pliskova";1
34;"Evgeniya Rodina";1
35;"Magdalena Rybarikova";1
36;"Monica Niculescu";1
37;"Lesia Tsurenko";1
38;"Julia Goerges";1
39;"Viktorija Golubic";1
40;"Shuai Zhang";1
41;"Petra Martic";1
42;"Daria Gavrilova";1
43;"Denisa Allertova";1
44;"Risa Ozaki";1
45;"Zarina Diyas";1
46;"Xinyun Han";1
47;"Arina Rodionova";1
48;"Anastasia Pavlyuchenkova";1
49;"Kristina Mladenovic";1
50;"Pauline Parmentier";1
51;"Alison Riske";1
52;"Sloane Stephens";1
53;"Tatjana Maria";1
54;"Anastasia Potapova";1
55;"Coco Vandeweghe";1
56;"Mona Barthel";1
57;"Darya Kasatkina";1
58;"Saisai Zheng";1
59;"Anett Kontaveit";1
60;"Lara Arruabarrena";1
61;"Tsvetana Pironkova";1
62;"Sara Errani";1
63;"Caroline Wozniacki";1
64;"Timea Babos";1
65;"Dominika Cibulkova";1
66;"Andrea Petkovic";1
67;"Jennifer Brady";1
68;"Danka Kovinic";1
69;"Irina Camelia Begu";1
70;"Naomi Broady";1
71;"Ana Konjuh";1
72;"Sabine Lisicki";1
73;"Barbora Zahlavova Strycova";1
74;"Veronica Cepede Royg";1
75;"Naomi Osaka";1
76;"Sara Sorribes Tormo";1
77;"Qiang Wang";1
78;"Kai Chen Chang";1
79;"Venus Williams";1
80;"Elise Mertens";1
81;"Jelena Ostapenko";1
82;"Aliaksandra Sasnovich";1
83;"Francoise Abanda";1
84;"Kurumi Nara";1
85;"Camila Giorgi";1
86;"Alize Cornet";1
87;"Madison Keys";1
88;"Nao Hibino";1
89;"Carina Witthoeft";1
90;"Mirjana Lucic";1
91;"Aryna Sabalenka";1
92;"Irina Khromacheva";1
93;"Francesca Schiavone";1
94;"Mandy Minella";1
95;"Elina Svitolina";1
96;"Ashleigh Barty";1
97;"Johanna Konta";1
98;"Su Wei Hsieh";1
99;"Donna Vekic";1
100;"Natalia Vikhlyantseva";1
101;"Maria Sakkari";1
102;"Katerina Siniakova";1
103;"Kristyna Pliskova";1
104;"Roberta Vinci";1
105;"Caroline Garcia";1
106;"Jana Cepelova";1
107;"Ana Bogdan";1
108;"Ying Ying Duan";1
109;"Madison Brengle";1
110;"Richel Hogenkamp";1
111;"Petra Kvitova";1
112;"Johanna Larsson";1
113;"Elena Vesnina";1
114;"Anna Blinkova";1
115;"Victoria Azarenka";1
116;"Catherine Cartan Bellis";1
117;"Heather Watson";1
118;"Maryna Zanevska";1
119;"Anastasija Sevastova";1
120;"Yulia Putintseva";1
121;"Carla Suarez Navarro";1
122;"Eugenie Bouchard";1
123;"Shuai Peng";1
124;"Marketa Vondrousova";1
125;"Beatriz Haddad Maia";1
126;"Laura Robson";1
127;"Simona Halep";1
128;"Marina Erakovic";1
