Source;Target;Label;Weight
21;1;2;2
31;1;L;0.5
37;1;C;5
39;1;C;5
40;1;3;1
47;1;1;5
49;1;C;5
50;1;2;2
62;1;2;2
63;1;L;0.5
72;1;3;1
75;1;1;5
95;1;3;1
102;1;C;5
104;1;2;2
105;1;C;5
106;1;1;5
111;1;CL;5.5
116;1;3;1
120;1;C;5
125;1;1;5
11;2;C;5
33;2;2;2
52;2;1;5
75;2;1;5
97;2;2;2
123;2;C;5
5;3;C;5
111;3;2;2
16;4;C;5
21;4;C;5
54;4;C;5
59;4;C;5
61;4;C;5
65;4;C;5
68;4;C;5
70;4;C;5
74;4;C;5
79;4;C;5
82;4;C;5
101;4;C;5
115;4;C;5
128;4;C;5
3;5;C;5
57;5;2;2
101;5;1;5
8;6;C;5
18;6;C;5
23;6;C;5
24;6;C;5
57;6;C;5
66;6;C;5
75;6;C;5
80;6;C;5
97;6;C;5
113;6;C;5
6;8;C;5
18;8;C;5
23;8;C3;6
24;8;C;5
31;8;3;1
57;8;C;5
66;8;C;5
75;8;C;5
80;8;C;5
97;8;C;5
103;8;1;5
113;8;C;5
120;8;1;5
122;8;2;2
39;10;1;5
50;10;C2;7
75;10;2;2
83;10;C;5
85;10;C;5
92;10;C;5
94;10;2;2
110;10;1;5
120;10;2;2
2;11;C;5
25;11;1;5
85;11;2;2
115;11;2;2
116;11;2;2
117;11;1;5
123;11;C;5
125;11;1;5
50;12;1;5
23;13;2;2
33;13;1;5
93;13;1;5
120;13;1;5
122;13;1;5
15;14;1;5
21;14;1;5
41;14;C;5
51;14;C;5
63;14;1;5
73;14;C;5
95;14;C;5
125;14;C;5
14;15;1;5
16;15;2;4
24;15;1;5
32;15;C;5
33;15;3L;1.5
72;15;2;2
94;15;C;5
120;15;3;1
4;16;C;5
15;16;2;4
21;16;C;5
30;16;1;5
54;16;C;5
57;16;1;5
59;16;C;5
61;16;C;5
62;16;3;1
65;16;C;5
68;16;C;5
70;16;C;5
74;16;C;5
79;16;C;5
82;16;C;5
93;16;1;5
101;16;C;5
115;16;C;5
128;16;C;5
20;17;C;5
31;17;L;0.5
60;17;3;1
78;17;3;1
114;17;C;5
115;17;1;5
6;18;C;5
8;18;C;5
23;18;C;5
24;18;C;5
57;18;C;5
66;18;C;5
75;18;C;5
80;18;C;5
97;18;C;5
105;18;1;5
113;18;C1;10
28;19;C;5
35;19;2;2
49;19;1;5
55;19;C1;10
59;19;1;5
78;19;C;5
121;19;C;5
122;19;C;5
17;20;C;5
50;20;3;1
58;20;1;5
79;20;2;2
81;20;1;5
114;20;C;5
120;20;2;2
121;20;2;2
1;21;2;2
4;21;C;5
14;21;1;5
16;21;C;5
41;21;2;2
54;21;C;5
59;21;C;5
60;21;2;2
61;21;C;5
65;21;C;5
68;21;C;5
70;21;C;5
74;21;C;5
79;21;C;5
82;21;C;5
83;21;1;5
101;21;C;5
106;21;1;5
115;21;C;5
120;21;1;5
128;21;C;5
6;23;C;5
8;23;C3;6
13;23;2;2
18;23;C;5
24;23;C;5
41;23;3;1
46;23;2;2
51;23;1;5
57;23;C3;6
66;23;C;5
75;23;C;5
80;23;C;5
87;23;1;5
94;23;1;5
97;23;C;5
102;23;3;1
103;23;2;2
113;23;CL;5.5
6;24;C;5
8;24;C;5
15;24;1;5
18;24;C;5
23;24;C;5
31;24;2;2
57;24;C;5
66;24;C;5
75;24;C;5
80;24;C;5
97;24;C;5
102;24;1;5
113;24;C;5
11;25;1;5
28;25;1;5
30;25;2;2
88;25;1;5
28;26;2;2
37;26;3;1
67;26;1;5
102;26;2;2
121;26;1;5
19;28;C;5
25;28;1;5
26;28;2;2
55;28;C;5
78;28;C;5
101;28;1;5
121;28;C;5
122;28;C;5
35;29;C;5
40;29;C;5
71;29;1;5
72;29;C;5
100;29;C;5
105;29;2;2
110;29;C;5
116;29;C;5
117;29;C;5
121;29;1;5
16;30;1;5
25;30;2;2
36;30;C;5
48;30;1;5
60;30;1;5
87;30;3;1
94;30;2;2
1;31;L;0.5
8;31;3;1
17;31;L;0.5
24;31;2;2
62;31;2;2
67;31;3;1
77;31;2;2
86;31;3;1
111;31;3;1
121;31;1;5
15;32;C;5
94;32;C;5
2;33;2;2
13;33;1;5
15;33;3L;1.5
56;33;C;5
73;33;3L;1.5
19;35;2;2
29;35;C;5
40;35;C;5
62;35;1;5
72;35;C;5
100;35;C;5
110;35;C;5
116;35;C;5
117;35;C;5
126;35;1;5
30;36;C;5
1;37;C;5
26;37;3;1
39;37;C;5
49;37;C;5
80;37;2;2
89;37;1;5
95;37;1;5
102;37;C;5
105;37;C;5
111;37;C;5
120;37;C;5
63;38;1;5
89;38;2;2
1;39;C;5
10;39;1;5
37;39;C;5
49;39;C;5
57;39;1;5
59;39;1;5
86;39;2;2
93;39;1;5
102;39;C;5
105;39;C;5
111;39;C;5
120;39;C2;7
127;39;3;1
1;40;3;1
29;40;C;5
35;40;C;5
52;40;1;5
72;40;C1;10
100;40;C;5
105;40;2;2
110;40;C;5
116;40;C;5
117;40;C;5
14;41;C;5
21;41;2;2
23;41;3;1
48;41;1;5
51;41;C;5
73;41;C;5
95;41;C;5
116;41;1;5
125;41;C;5
127;41;1;5
50;43;1;5
103;43;1;5
58;45;1;5
73;45;3;1
89;45;1;5
113;45;1;5
23;46;2;2
52;46;C;5
72;46;2;2
97;46;1;5
126;46;C;5
1;47;1;5
48;47;C;5
49;47;1;5
63;47;1;5
64;47;C;5
81;47;C;5
88;47;C;5
124;47;C;5
30;48;1;5
41;48;1;5
47;48;C;5
50;48;2;2
64;48;C;5
78;48;2;2
80;48;1;5
81;48;C;5
88;48;C;5
89;48;2;2
124;48;C;5
1;49;C;5
19;49;1;5
37;49;C;5
39;49;C;5
47;49;1;5
94;49;3;1
102;49;C;5
105;49;C;5
111;49;C;5
113;49;3;1
118;49;1;5
120;49;C3;6
1;50;2;2
10;50;C2;7
12;50;1;5
20;50;3;1
43;50;1;5
48;50;2;2
83;50;C;5
85;50;C;5
89;50;2;2
92;50;C;5
14;51;C;5
23;51;1;5
41;51;C;5
73;51;C;5
86;51;1;5
95;51;C;5
125;51;C;5
2;52;1;5
40;52;1;5
46;52;C;5
88;52;1;5
113;52;2;2
126;52;C;5
4;54;C;5
16;54;C;5
21;54;C;5
59;54;C;5
61;54;C;5
65;54;C;5
68;54;C;5
70;54;C;5
74;54;C;5
79;54;C;5
82;54;C;5
101;54;C;5
115;54;C;5
128;54;C;5
19;55;C1;10
28;55;C;5
78;55;C;5
91;55;2;2
101;55;2;2
102;55;2;2
120;55;3;1
121;55;C1;10
122;55;C;5
124;55;1;5
33;56;C;5
5;57;2;2
6;57;C;5
8;57;C;5
16;57;1;5
18;57;C;5
23;57;C3;6
24;57;C;5
39;57;1;5
66;57;C;5
72;57;1;5
75;57;C;5
78;57;1;5
80;57;C;5
97;57;C;5
113;57;C;5
20;58;1;5
45;58;1;5
63;58;2;2
85;58;1;5
4;59;C;5
16;59;C;5
19;59;1;5
21;59;C;5
39;59;1;5
54;59;C;5
61;59;C;5
65;59;C;5
68;59;C;5
70;59;C;5
74;59;C;5
79;59;C;5
82;59;C;5
101;59;C;5
115;59;C;5
128;59;C;5
17;60;3;1
21;60;2;2
30;60;1;5
71;60;1;5
78;60;12;7
93;60;C;5
115;60;3;1
127;60;C;5
4;61;C;5
16;61;C;5
21;61;C;5
54;61;C;5
59;61;C;5
65;61;C;5
68;61;C;5
