Id;Label;Attribute
1;"Novak Djokovic";1
2;"Hyeon Chung";1
3;"Quentin Halys";1
4;"Ivan Dodig";1
5;"Denis Kudla";1
6;"Filip Krajinovic";1
7;"Andreas Seppi";1
8;"Teymuraz Gabashvili";1
9;"Federico Delbonis";1
10;"Ivo Karlovic";1
11;"Renzo Olivo";1
12;"Jiri Vesely";1
13;"Evgeny Donskoy";1
14;"Inigo Cervantes Huegun";1
15;"Gilles Simon";1
16;"Vasek Pospisil";1
17;"Jo Wilfried Tsonga";1
18;"Marcos Baghdatis";1
19;"Omar Jasika";1
20;"Illya Marchenko";1
21;"Pierre Hugues Herbert";1
22;"Pablo Andujar";1
23;"Noah Rubin";1
24;"Benoit Paire";1
25;"Guillermo Garcia Lopez";1
26;"Paul Henri Mathieu";1
27;"Daniel Brands";1
28;"Victor Estrella";1
29;"Austin Krajicek";1
30;"Di Wu";1
31;"Kei Nishikori";1
32;"Philipp Kohlschreiber";1
33;"Roger Federer";1
34;"Nikoloz Basilashvili";1
35;"Alexandr Dolgopolov";1
36;"Ricardas Berankis";1
37;"Marco Trungelliti";1
38;"Jozef Kovalik";1
39;"Grigor Dimitrov";1
40;"Paolo Lorenzi";1
41;"Dominic Thiem";1
42;"Leonardo Mayer";1
43;"Nicolas Almagro";1
44;"Julien Benneteau";1
45;"Damir Dzumhur";1
46;"Kyle Edmund";1
47;"David Goffin";1
48;"Sergiy Stakhovsky";1
49;"Marin Cilic";1
50;"Thiemo De Bakker";1
51;"Albert Ramos";1
52;"Borna Coric";1
53;"Dusan Lajovic";1
54;"Sam Querrey";1
55;"Roberto Bautista Agut";1
56;"Martin Klizan";1
57;"Nick Kyrgios";1
58;"Pablo Carreno Busta";1
59;"Pablo Cuevas";1
60;"Yoshihito Nishioka";1
61;"Mirza Basic";1
62;"Robin Haase";1
63;"Tomas Berdych";1
64;"Yuki Bhambri";1
65;"Fernando Verdasco";1
66;"Rafael Nadal";1
67;"Dudi Sela";1
68;"Benjamin Becker";1
69;"Andrey Kuznetsov";1
70;"Ryan Harrison";1
71;"Jeremy Chardy";1
72;"Ernests Gulbis";1
73;"Gael Monfils";1
74;"Yuichi Sugita";1
75;"Nicolas Mahut";1
76;"Marco Cecchinato";1
77;"Stephane Robert";1
78;"Bjorn Fratangelo";1
79;"Rajeev Ram";1
80;"Kevin Anderson";1
81;"Milos Raonic";1
82;"Lucas Pouille";1
83;"Tommy Robredo";1
84;"Malek Jaziri";1
85;"Tim Smyczek";1
86;"Daniel Gimeno Traver";1
87;"Viktor Troicki";1
88;"Daniel Munoz De La Nava";1
89;"Jack Sock";1
90;"Taylor Harry Fritz";1
91;"Lukas Rosol";1
92;"Taro Daniel";1
93;"Radek Stepanek";1
94;"Tatsuma Ito";1
95;"Stanislas Wawrinka";1
96;"Dmitry Tursunov";1
97;"David Ferrer";1
98;"Peter Gojowczyk";1
99;"Lleyton Hewitt";1
100;"James Duckworth";1
101;"Thomaz Bellucci";1
102;"Jordan Thompson";1
103;"Steve Johnson";1
104;"Aljaz Bedene";1
105;"Feliciano Lopez";1
106;"Daniel Evans";1
107;"Guido Pella";1
108;"Steve Darcis";1
109;"Marcel Granollers";1
110;"Matthew Ebden";1
111;"John Isner";1
112;"Jerzy Janowicz";1
113;"Bernard Tomic";1
114;"Denis Istomin";1
115;"Simone Bolelli";1
116;"Brian Baker";1
117;"John Millman";1
118;"Diego Sebastian Schwartzman";1
119;"Gilles Muller";1
120;"Fabio Fognini";1
121;"Joao Sousa";1
122;"Mikhail Kukushkin";1
123;"Santiago Giraldo";1
124;"Donald Young";1
125;"Samuel Groth";1
126;"Adrian Mannarino";1
127;"Andy Murray";1
128;"Alexander Zverev";1
