Id;Label;Attribute
1;"Rafael Nadal";1
2;"Bernard Tomic";1
3;"Thanasi Kokkinakis";1
4;"Igor Sijsling";1
5;"Jack Sock";1
6;"Tobias Kamke";1
7;"Gael Monfils";1
8;"Ryan Harrison";1
9;"Andreas Seppi";1
10;"Lleyton Hewitt";1
11;"Donald Young";1
12;"Robin Haase";1
13;"Dusan Lajovic";1
14;"Lucas Pouille";1
15;"Kei Nishikori";1
16;"Marinko Matosevic";1
17;"Milos Raonic";1
18;"Daniel Gimeno Traver";1
19;"Victor Hanescu";1
20;"Peter Gojowczyk";1
21;"Yen Hsun Lu";1
22;"Jimmy Wang";1
23;"Grigor Dimitrov";1
24;"Bradley Klahn";1
25;"Benoit Paire";1
26;"Frank Dancevic";1
27;"Nick Kyrgios";1
28;"Benjamin Becker";1
29;"Roberto Bautista Agut";1
30;"Tim Smyczek";1
31;"Juan Martin Del Potro";1
32;"Rhyne Williams";1
33;"Andy Murray";1
34;"Go Soeda";1
35;"Vincent Millot";1
36;"Wayne Odesnik";1
37;"Michael Berrer";1
38;"Michael Llodra";1
39;"Feliciano Lopez";1
40;"Somdev Devvarman";1
41;"Stephane Robert";1
42;"Aljaz Bedene";1
43;"Michal Przysiezny";1
44;"Horacio Zeballos";1
45;"Blaz Rola";1
46;"Federico Delbonis";1
47;"Martin Klizan";1
48;"John Isner";1
49;"Jo Wilfried Tsonga";1
50;"Filippo Volandri";1
51;"Thomaz Bellucci";1
52;"Julian Reister";1
53;"Marin Cilic";1
54;"Marcel Granollers";1
55;"Gilles Simon";1
56;"Daniel Brands";1
57;"Fernando Verdasco";1
58;"Ze Zhang";1
59;"Teymuraz Gabashvili";1
60;"Sergiy Stakhovsky";1
61;"Blaz Kavcic";1
62;"Radek Stepanek";1
63;"Roger Federer";1
64;"James Duckworth";1
65;"Tomas Berdych";1
66;"Aleksandr Nedovyesov";1
67;"Kenny De Schepper";1
68;"Di Wu";1
69;"Damir Dzumhur";1
70;"Jan Hajek";1
71;"Ivan Dodig";1
72;"Ivo Karlovic";1
73;"Kevin Anderson";1
74;"Jiri Vesely";1
75;"Dominic Thiem";1
76;"Joao Sousa";1
77;"Edouard Roger Vasselin";1
78;"Carlos Berlocq";1
79;"Guillermo Garcia Lopez";1
80;"Tommy Haas";1
81;"Mikhail Youzhny";1
82;"Jan Lennard Struff";1
83;"Florian Mayer";1
84;"Denis Kudla";1
85;"Pablo Andujar";1
86;"Albert Ramos";1
87;"Jerzy Janowicz";1
88;"Jordan Thompson";1
89;"Jeremy Chardy";1
90;"Jesse Huta Galung";1
91;"Alexandr Dolgopolov";1
92;"Ricardas Berankis";1
93;"Adrian Mannarino";1
94;"Steve Johnson";1
95;"David Ferrer";1
96;"Alejandro Gonzalez";1
97;"Stanislas Wawrinka";1
98;"Andrey Golubev";1
99;"Alejandro Falla";1
100;"Mikhail Kukushkin";1
101;"Matthew Ebden";1
102;"Nicolas Mahut";1
103;"Vasek Pospisil";1
104;"Samuel Groth";1
105;"Tommy Robredo";1
106;"Lukas Rosol";1
107;"Julien Benneteau";1
108;"Pablo Carreno Busta";1
109;"Nikolay Davydenko";1
110;"Lukasz Kubot";1
111;"Richard Gasquet";1
112;"David Guez";1
113;"Fabio Fognini";1
114;"Alex Bogomolov Jr";1
115;"Jarkko Nieminen";1
116;"Dudi Sela";1
117;"Sam Querrey";1
118;"Santiago Giraldo";1
119;"Ernests Gulbis";1
120;"Juan Monaco";1
121;"Dmitry Tursunov";1
122;"Michael Russell";1
123;"Denis Istomin";1
124;"Marcos Baghdatis";1
125;"Leonardo Mayer";1
126;"Albert Montanes";1
127;"Novak Djokovic";1
128;"Lukas Lacko";1
